Percentage of Emergency Department visits with Diagnosed COVID-19 in United States
Date generated: Thu Oct 31 2024 15:30:31 GMT-0500 (Central Daylight Time)
Date,Age Range,Daily Percent of ED Visits with diagnosed COVID-19,7-day Average of ED Visits with diagnosed COVID-19
2024-03-10,25 to 39,0.57,0.67
2024-03-10,40 to 49,0.7,0.73
2024-03-10,50 to 64,0.92,0.94
2024-03-10,65 to 74,1.28,1.27
2024-03-10,75+,1.76,1.85
2024-03-10,All Ages,0.91,0.98
2024-03-11,00 to 11,0.81,0.98
2024-03-11,12 to 15,0.41,0.48
2024-03-11,16 to 17,0.52,0.58
2024-03-11,18 to 24,0.63,0.64
2024-03-11,25 to 39,0.6,0.65
2024-03-11,40 to 49,0.62,0.71
2024-03-11,50 to 64,0.82,0.9
2024-03-11,65 to 74,1.06,1.23
2024-03-11,75+,1.47,1.76
2024-03-11,All Ages,0.82,0.94
2024-03-12,00 to 11,0.8,0.93
2024-03-12,12 to 15,0.37,0.45
2024-03-12,16 to 17,0.53,0.57
2024-03-12,18 to 24,0.63,0.61
2024-03-12,25 to 39,0.61,0.62
2024-03-12,40 to 49,0.65,0.68
2024-03-12,50 to 64,0.75,0.87
2024-03-12,65 to 74,1.07,1.2
2024-03-12,75+,1.38,1.67
2024-03-12,All Ages,0.8,0.9
2024-03-13,00 to 11,0.82,0.9
2024-03-13,12 to 15,0.35,0.42
2024-03-13,16 to 17,0.47,0.54
2024-03-13,18 to 24,0.6,0.6
2024-03-13,25 to 39,0.55,0.59
2024-03-13,40 to 49,0.66,0.66
2024-03-13,50 to 64,0.69,0.83
2024-03-13,65 to 74,1,1.16
2024-03-13,75+,1.44,1.62
2024-03-13,All Ages,0.79,0.87
2024-03-14,00 to 11,0.86,0.88
2024-03-14,12 to 15,0.38,0.41
2024-03-14,16 to 17,0.42,0.53
2024-03-14,18 to 24,0.52,0.58
2024-03-14,25 to 39,0.54,0.57
2024-03-14,40 to 49,0.55,0.64
2024-03-14,50 to 64,0.65,0.8
2024-03-14,65 to 74,0.99,1.11
2024-03-14,75+,1.45,1.57
2024-03-14,All Ages,0.76,0.84
2024-03-15,00 to 11,0.81,0.86
2024-03-15,12 to 15,0.36,0.39
2024-03-15,16 to 17,0.48,0.51
2024-03-15,18 to 24,0.38,0.55
2024-03-15,25 to 39,0.48,0.55
2024-03-15,40 to 49,0.5,0.62
2024-03-15,50 to 64,0.66,0.77
2024-03-15,65 to 74,0.97,1.08
2024-03-15,75+,1.39,1.53
2024-03-15,All Ages,0.73,0.82
2024-03-16,00 to 11,0.71,0.82
2024-03-16,12 to 15,0.32,0.37
2024-03-16,16 to 17,0.33,0.48
2024-03-16,18 to 24,0.46,0.54
2024-03-16,25 to 39,0.46,0.55
2024-03-16,40 to 49,0.52,0.6
2024-03-16,50 to 64,0.66,0.74
2024-03-16,65 to 74,1,1.05
2024-03-16,75+,1.46,1.47
2024-03-16,All Ages,0.72,0.79
2024-03-17,00 to 11,0.73,0.79
2024-03-17,12 to 15,0.34,0.36
2024-03-17,16 to 17,0.41,0.46
2024-03-17,18 to 24,0.46,0.53
2024-03-17,25 to 39,0.45,0.53
2024-03-17,40 to 49,0.52,0.58
2024-03-17,50 to 64,0.76,0.72
2024-03-17,65 to 74,1,1.01
2024-03-17,75+,1.54,1.45
2024-03-17,All Ages,0.74,0.77
2024-03-18,00 to 11,0.74,0.78
2024-03-18,12 to 15,0.28,0.34
2024-03-18,16 to 17,0.33,0.43
2024-03-18,18 to 24,0.46,0.5
2024-03-18,25 to 39,0.48,0.51
2024-03-18,40 to 49,0.48,0.56
2024-03-18,50 to 64,0.58,0.68
2024-03-18,65 to 74,0.87,0.98
2024-03-18,75+,1.14,1.39
2024-03-18,All Ages,0.65,0.74
2024-03-19,00 to 11,0.73,0.77
2024-03-19,12 to 15,0.38,0.34
2024-03-19,16 to 17,0.38,0.4
2024-03-19,18 to 24,0.48,0.48
2024-03-19,25 to 39,0.49,0.49
2024-03-19,40 to 49,0.44,0.52
2024-03-19,50 to 64,0.6,0.65
2024-03-19,65 to 74,0.84,0.95
2024-03-19,75+,1.15,1.36
2024-03-19,All Ages,0.65,0.72
2024-03-20,00 to 11,0.75,0.76
2024-03-20,12 to 15,0.34,0.34
2024-03-20,16 to 17,0.35,0.38
2024-03-20,18 to 24,0.48,0.46
2024-03-20,25 to 39,0.47,0.48
2024-03-20,40 to 49,0.5,0.5
2024-03-20,50 to 64,0.58,0.64
2024-03-20,65 to 74,0.77,0.92
2024-03-20,75+,1.22,1.33
2024-03-20,All Ages,0.65,0.7
2024-03-21,00 to 11,0.67,0.73
2024-03-21,12 to 15,0.29,0.33
2024-03-21,16 to 17,0.25,0.36
2024-03-21,18 to 24,0.53,0.46
2024-03-21,25 to 39,0.44,0.47
2024-03-21,40 to 49,0.46,0.49
2024-03-21,50 to 64,0.52,0.62
2024-03-21,65 to 74,0.82,0.89
2024-03-21,75+,1.23,1.3
2024-03-21,All Ages,0.63,0.68
2024-03-22,00 to 11,0.7,0.72
2024-03-22,12 to 15,0.21,0.31
2024-03-22,16 to 17,0.26,0.33
2024-03-22,18 to 24,0.36,0.46
2024-03-22,25 to 39,0.4,0.46
2024-03-22,40 to 49,0.38,0.47
2024-03-22,50 to 64,0.55,0.6
2024-03-22,65 to 74,0.74,0.86
2024-03-22,75+,1.18,1.27
2024-03-22,All Ages,0.59,0.66
2024-03-23,00 to 11,0.7,0.72
2024-03-23,12 to 15,0.23,0.3
2024-03-23,16 to 17,0.42,0.34
2024-03-23,18 to 24,0.35,0.45
2024-03-23,25 to 39,0.38,0.45
2024-03-23,40 to 49,0.52,0.47
2024-03-23,50 to 64,0.64,0.6
2024-03-23,65 to 74,0.88,0.84
2024-03-23,75+,1.26,1.24
2024-03-23,All Ages,0.65,0.65
2024-03-24,00 to 11,0.71,0.71
2024-03-24,12 to 15,0.31,0.3
2024-03-24,16 to 17,0.44,0.34
2024-03-24,18 to 24,0.37,0.43
2024-03-24,25 to 39,0.41,0.44
2024-03-24,40 to 49,0.45,0.46
2024-03-24,50 to 64,0.64,0.58
2024-03-24,65 to 74,0.89,0.83
2024-03-24,75+,1.38,1.22
2024-03-24,All Ages,0.66,0.64
2024-03-25,00 to 11,0.61,0.69
2024-03-25,12 to 15,0.24,0.29
2024-03-25,16 to 17,0.39,0.35
2024-03-25,18 to 24,0.41,0.43
2024-03-25,25 to 39,0.39,0.43
2024-03-25,40 to 49,0.46,0.46
2024-03-25,50 to 64,0.5,0.57
2024-03-25,65 to 74,0.81,0.82
2024-03-25,75+,1.09,1.21
2024-03-25,All Ages,0.58,0.63
2024-03-26,00 to 11,0.66,0.68
2024-03-26,12 to 15,0.32,0.28
2024-03-26,16 to 17,0.37,0.35
2024-03-26,18 to 24,0.47,0.42
2024-03-26,25 to 39,0.43,0.42
2024-03-26,40 to 49,0.42,0.45
2024-03-26,50 to 64,0.56,0.57
2024-03-26,65 to 74,0.69,0.8
2024-03-26,75+,1.04,1.19
2024-03-26,All Ages,0.59,0.62
2024-03-27,00 to 11,0.62,0.67
2024-03-27,12 to 15,0.35,0.28
2024-03-27,16 to 17,0.42,0.36
2024-03-27,18 to 24,0.38,0.41
2024-03-27,25 to 39,0.42,0.41
2024-03-27,40 to 49,0.45,0.45
2024-03-27,50 to 64,0.57,0.56
2024-03-27,65 to 74,0.77,0.8
2024-03-27,75+,1.08,1.17
2024-03-27,All Ages,0.59,0.61
2024-03-28,00 to 11,0.57,0.65
2024-03-28,12 to 15,0.32,0.28
2024-03-28,16 to 17,0.27,0.37
2024-03-28,18 to 24,0.36,0.39
2024-03-28,25 to 39,0.4,0.41
2024-03-28,40 to 49,0.44,0.44
2024-03-28,50 to 64,0.52,0.57
2024-03-28,65 to 74,0.8,0.79
2024-03-28,75+,1.05,1.15
2024-03-28,All Ages,0.57,0.6
2024-03-29,00 to 11,0.63,0.64
2024-03-29,12 to 15,0.32,0.3
2024-03-29,16 to 17,0.22,0.36
2024-03-29,18 to 24,0.34,0.38
2024-03-29,25 to 39,0.35,0.4
2024-03-29,40 to 49,0.34,0.44
2024-03-29,50 to 64,0.49,0.56
2024-03-29,65 to 74,0.7,0.79
2024-03-29,75+,1.03,1.13
2024-03-29,All Ages,0.54,0.6
2024-03-30,00 to 11,0.56,0.62
2024-03-30,12 to 15,0.16,0.29
2024-03-30,16 to 17,0.29,0.35
2024-03-30,18 to 24,0.36,0.38
2024-03-30,25 to 39,0.35,0.39
2024-03-30,40 to 49,0.42,0.43
2024-03-30,50 to 64,0.59,0.55
2024-03-30,65 to 74,0.86,0.78
2024-03-30,75+,1.09,1.1
2024-03-30,All Ages,0.58,0.59
2024-03-31,00 to 11,0.58,0.6
2024-03-31,12 to 15,0.27,0.28
2024-03-31,16 to 17,0.28,0.33
2024-03-31,18 to 24,0.33,0.38
2024-03-31,25 to 39,0.43,0.4
2024-03-31,40 to 49,0.38,0.42
2024-03-31,50 to 64,0.58,0.54
2024-03-31,65 to 74,0.82,0.78
2024-03-31,75+,1.25,1.09
2024-03-31,All Ages,0.6,0.58
2024-04-01,00 to 11,0.61,0.6
2024-04-01,12 to 15,0.15,0.27
2024-04-01,16 to 17,0.29,0.31
2024-04-01,18 to 24,0.39,0.38
2024-04-01,25 to 39,0.35,0.39
2024-04-01,40 to 49,0.43,0.41
2024-04-01,50 to 64,0.51,0.55
2024-04-01,65 to 74,0.77,0.77
2024-04-01,75+,0.98,1.07
2024-04-01,All Ages,0.55,0.57
2024-04-02,00 to 11,0.5,0.58
2024-04-02,12 to 15,0.18,0.25
2024-04-02,16 to 17,0.22,0.29
2024-04-02,18 to 24,0.38,0.36
2024-04-02,25 to 39,0.38,0.38
2024-04-02,40 to 49,0.38,0.41
2024-04-02,50 to 64,0.43,0.53
2024-04-02,65 to 74,0.73,0.78
2024-04-02,75+,1.05,1.07
2024-04-02,All Ages,0.52,0.56
2024-04-03,00 to 11,0.5,0.56
2024-04-03,12 to 15,0.19,0.22
2024-04-03,16 to 17,0.22,0.26
2024-04-03,18 to 24,0.38,0.36
2024-04-03,25 to 39,0.35,0.37
2024-04-03,40 to 49,0.38,0.4
2024-04-03,50 to 64,0.48,0.51
2024-04-03,65 to 74,0.72,0.77
2024-04-03,75+,1.05,1.07
2024-04-03,All Ages,0.52,0.55
2024-04-04,00 to 11,0.57,0.56
2024-04-04,12 to 15,0.2,0.21
2024-04-04,16 to 17,0.17,0.24
2024-04-04,18 to 24,0.36,0.36
2024-04-04,25 to 39,0.35,0.36
2024-04-04,40 to 49,0.34,0.38
2024-04-04,50 to 64,0.48,0.51
2024-04-04,65 to 74,0.68,0.75
2024-04-04,75+,0.96,1.05
2024-04-04,All Ages,0.51,0.54
2024-04-05,00 to 11,0.5,0.55
2024-04-05,12 to 15,0.18,0.19
2024-04-05,16 to 17,0.25,0.24
2024-04-05,18 to 24,0.33,0.36
2024-04-05,25 to 39,0.35,0.36
2024-04-05,40 to 49,0.34,0.38
2024-04-05,50 to 64,0.44,0.5
2024-04-05,65 to 74,0.66,0.75
2024-04-05,75+,0.9,1.03
2024-04-05,All Ages,0.49,0.54
2024-04-06,00 to 11,0.49,0.54
2024-04-06,12 to 15,0.22,0.2
2024-04-06,16 to 17,0.29,0.24
2024-04-06,18 to 24,0.29,0.35
2024-04-06,25 to 39,0.35,0.36
2024-04-06,40 to 49,0.34,0.37
2024-04-06,50 to 64,0.48,0.48
2024-04-06,65 to 74,0.7,0.73
2024-04-06,75+,0.97,1.02
2024-04-06,All Ages,0.5,0.53
2024-04-07,00 to 11,0.51,0.53
2024-04-07,12 to 15,0.22,0.19
2024-04-07,16 to 17,0.39,0.26
2024-04-07,18 to 24,0.32,0.35
2024-04-07,25 to 39,0.33,0.35
2024-04-07,40 to 49,0.36,0.37
2024-04-07,50 to 64,0.46,0.47
2024-04-07,65 to 74,0.73,0.71
2024-04-07,75+,0.9,0.97
2024-04-07,All Ages,0.49,0.51
2024-04-08,00 to 11,0.5,0.51
2024-04-08,12 to 15,0.22,0.2
2024-04-08,16 to 17,0.22,0.25
2024-04-08,18 to 24,0.31,0.34
2024-04-08,25 to 39,0.32,0.35
2024-04-08,40 to 49,0.33,0.35
2024-04-08,50 to 64,0.39,0.45
2024-04-08,65 to 74,0.56,0.68
2024-04-08,75+,0.93,0.97
2024-04-08,All Ages,0.46,0.5
2024-04-09,00 to 11,0.44,0.5
2024-04-09,12 to 15,0.25,0.21
2024-04-09,16 to 17,0.28,0.26
2024-04-09,18 to 24,0.34,0.33
2024-04-09,25 to 39,0.29,0.33
2024-04-09,40 to 49,0.34,0.35
2024-04-09,50 to 64,0.36,0.44
2024-04-09,65 to 74,0.65,0.67
2024-04-09,75+,0.8,0.93
2024-04-09,All Ages,0.44,0.48
2024-04-10,00 to 11,0.45,0.49
2024-04-10,12 to 15,0.16,0.21
2024-04-10,16 to 17,0.18,0.25
2024-04-10,18 to 24,0.29,0.32
2024-04-10,25 to 39,0.31,0.33
2024-04-10,40 to 49,0.34,0.34
2024-04-10,50 to 64,0.41,0.43
2024-04-10,65 to 74,0.57,0.65
2024-04-10,75+,0.86,0.9
2024-04-10,All Ages,0.44,0.47
2024-04-11,00 to 11,0.44,0.47
2024-04-11,12 to 15,0.17,0.2
2024-04-11,16 to 17,0.21,0.26
2024-04-11,18 to 24,0.26,0.3
2024-04-11,25 to 39,0.31,0.32
2024-04-11,40 to 49,0.31,0.34
2024-04-11,50 to 64,0.42,0.42
2024-04-11,65 to 74,0.51,0.62
2024-04-11,75+,0.84,0.88
2024-04-11,All Ages,0.43,0.46
2024-04-12,00 to 11,0.43,0.47
2024-04-12,12 to 15,0.2,0.2
2024-04-12,16 to 17,0.16,0.24
2024-04-12,18 to 24,0.28,0.3
2024-04-12,25 to 39,0.27,0.31
2024-04-12,40 to 49,0.31,0.33
2024-04-12,50 to 64,0.31,0.4
2024-04-12,65 to 74,0.58,0.61
2024-04-12,75+,0.81,0.87
2024-04-12,All Ages,0.41,0.45
2024-04-13,00 to 11,0.41,0.45
2024-04-13,12 to 15,0.2,0.2
2024-04-13,16 to 17,0.28,0.24
2024-04-13,18 to 24,0.26,0.3
2024-04-13,25 to 39,0.24,0.3
2024-04-13,40 to 49,0.32,0.33
2024-04-13,50 to 64,0.42,0.4
2024-04-13,65 to 74,0.56,0.59
2024-04-13,75+,0.84,0.85
2024-04-13,All Ages,0.42,0.44
2024-04-14,00 to 11,0.43,0.44
2024-04-14,12 to 15,0.25,0.21
2024-04-14,16 to 17,0.22,0.22
2024-04-14,18 to 24,0.29,0.29
2024-04-14,25 to 39,0.28,0.29
2024-04-14,40 to 49,0.31,0.32
2024-04-14,50 to 64,0.37,0.38
2024-04-14,65 to 74,0.62,0.58
2024-04-14,75+,0.97,0.86
2024-04-14,All Ages,0.44,0.43
2024-04-15,00 to 11,0.36,0.42
2024-04-15,12 to 15,0.15,0.19
2024-04-15,16 to 17,0.13,0.21
2024-04-15,18 to 24,0.26,0.28
2024-04-15,25 to 39,0.28,0.28
2024-04-15,40 to 49,0.28,0.32
2024-04-15,50 to 64,0.33,0.37
2024-04-15,65 to 74,0.52,0.57
2024-04-15,75+,0.74,0.83
2024-04-15,All Ages,0.37,0.42
2024-04-16,00 to 11,0.41,0.42
2024-04-16,12 to 15,0.18,0.18
2024-04-16,16 to 17,0.24,0.2
2024-04-16,18 to 24,0.29,0.28
2024-04-16,25 to 39,0.23,0.27
2024-04-16,40 to 49,0.26,0.3
2024-04-16,50 to 64,0.37,0.37
2024-04-16,65 to 74,0.51,0.55
2024-04-16,75+,0.67,0.82
2024-04-16,All Ages,0.37,0.41
2024-04-17,00 to 11,0.38,0.41
2024-04-17,12 to 15,0.12,0.18
2024-04-17,16 to 17,0.16,0.2
2024-04-17,18 to 24,0.26,0.27
2024-04-17,25 to 39,0.25,0.27
2024-04-17,40 to 49,0.23,0.29
2024-04-17,50 to 64,0.39,0.37
2024-04-17,65 to 74,0.55,0.55
2024-04-17,75+,0.69,0.79
2024-04-17,All Ages,0.37,0.4
2024-04-18,00 to 11,0.4,0.41
2024-04-18,12 to 15,0.12,0.17
2024-04-18,16 to 17,0.23,0.2
2024-04-18,18 to 24,0.24,0.27
2024-04-18,25 to 39,0.25,0.26
2024-04-18,40 to 49,0.25,0.28
2024-04-18,50 to 64,0.32,0.36
2024-04-18,65 to 74,0.43,0.54
2024-04-18,75+,0.73,0.77
2024-04-18,All Ages,0.36,0.39
2024-04-19,00 to 11,0.38,0.4
2024-04-19,12 to 15,0.2,0.17
2024-04-19,16 to 17,0.23,0.21
2024-04-19,18 to 24,0.26,0.27
2024-04-19,25 to 39,0.22,0.25
2024-04-19,40 to 49,0.24,0.27
2024-04-19,50 to 64,0.33,0.36
2024-04-19,65 to 74,0.47,0.52
2024-04-19,75+,0.74,0.76
2024-04-19,All Ages,0.36,0.38
2024-04-20,00 to 11,0.4,0.4
2024-04-20,12 to 15,0.11,0.16
2024-04-20,16 to 17,0.14,0.19
2024-04-20,18 to 24,0.2,0.26
2024-04-20,25 to 39,0.23,0.25
2024-04-20,40 to 49,0.2,0.25
2024-04-20,50 to 64,0.32,0.35
2024-04-20,65 to 74,0.49,0.51
2024-04-20,75+,0.79,0.76
2024-04-20,All Ages,0.36,0.38
2024-04-21,00 to 11,0.36,0.39
2024-04-21,12 to 15,0.28,0.16
2024-04-21,16 to 17,0.17,0.19
2024-04-21,18 to 24,0.28,0.26
2024-04-21,25 to 39,0.2,0.24
2024-04-21,40 to 49,0.28,0.25
2024-04-21,50 to 64,0.44,0.35
2024-04-21,65 to 74,0.49,0.5
2024-04-21,75+,0.75,0.73
2024-04-21,All Ages,0.38,0.37
2024-04-22,00 to 11,0.36,0.39
2024-04-22,12 to 15,0.21,0.17
2024-04-22,16 to 17,0.23,0.2
2024-04-22,18 to 24,0.2,0.25
2024-04-22,25 to 39,0.19,0.22
2024-04-22,40 to 49,0.25,0.24
2024-04-22,50 to 64,0.38,0.36
2024-04-22,65 to 74,0.42,0.48
2024-04-22,75+,0.66,0.72
2024-04-22,All Ages,0.34,0.36
2024-04-23,00 to 11,0.39,0.38
2024-04-23,12 to 15,0.14,0.17
2024-04-23,16 to 17,0.21,0.2
2024-04-23,18 to 24,0.26,0.24
2024-04-23,25 to 39,0.27,0.23
2024-04-23,40 to 49,0.28,0.25
2024-04-23,50 to 64,0.3,0.35
2024-04-23,65 to 74,0.44,0.47
2024-04-23,75+,0.71,0.72
2024-04-23,All Ages,0.36,0.36
2024-04-24,00 to 11,0.35,0.38
2024-04-24,12 to 15,0.23,0.18
2024-04-24,16 to 17,0.19,0.2
2024-04-24,18 to 24,0.22,0.24
2024-04-24,25 to 39,0.26,0.23
2024-04-24,40 to 49,0.25,0.25
2024-04-24,50 to 64,0.3,0.34
2024-04-24,65 to 74,0.39,0.45
2024-04-24,75+,0.68,0.72
2024-04-24,All Ages,0.34,0.36
2024-04-25,00 to 11,0.33,0.37
2024-04-25,12 to 15,0.2,0.2
2024-04-25,16 to 17,0.22,0.2
2024-04-25,18 to 24,0.24,0.24
2024-04-25,25 to 39,0.22,0.22
2024-04-25,40 to 49,0.24,0.25
2024-04-25,50 to 64,0.33,0.34
2024-04-25,65 to 74,0.45,0.45
2024-04-25,75+,0.63,0.71
2024-04-25,All Ages,0.33,0.35
2024-04-26,00 to 11,0.34,0.36
2024-04-26,12 to 15,0.18,0.19
2024-04-26,16 to 17,0.24,0.2
2024-04-26,18 to 24,0.23,0.23
2024-04-26,25 to 39,0.23,0.23
2024-04-26,40 to 49,0.21,0.25
2024-04-26,50 to 64,0.36,0.35
2024-04-26,65 to 74,0.36,0.43
2024-04-26,75+,0.67,0.7
2024-04-26,All Ages,0.34,0.35
2024-04-27,00 to 11,0.36,0.36
2024-04-27,12 to 15,0.21,0.21
2024-04-27,16 to 17,0.2,0.21
2024-04-27,18 to 24,0.2,0.23
2024-04-27,25 to 39,0.26,0.23
2024-04-27,40 to 49,0.23,0.25
2024-04-27,50 to 64,0.32,0.35
2024-04-27,65 to 74,0.5,0.43
2024-04-27,75+,0.69,0.68
2024-04-27,All Ages,0.35,0.35
2024-04-28,00 to 11,0.34,0.35
2024-04-28,12 to 15,0.13,0.19
2024-04-28,16 to 17,0.16,0.21
2024-04-28,18 to 24,0.22,0.22
2024-04-28,25 to 39,0.23,0.23
2024-04-28,40 to 49,0.27,0.25
2024-04-28,50 to 64,0.32,0.33
2024-04-28,65 to 74,0.47,0.43
2024-04-28,75+,0.72,0.68
2024-04-28,All Ages,0.34,0.34
2024-04-29,00 to 11,0.31,0.35
2024-04-29,12 to 15,0.2,0.18
2024-04-29,16 to 17,0.17,0.2
2024-04-29,18 to 24,0.22,0.23
2024-04-29,25 to 39,0.25,0.24
2024-04-29,40 to 49,0.25,0.25
2024-04-29,50 to 64,0.33,0.32
2024-04-29,65 to 74,0.49,0.44
2024-04-29,75+,0.69,0.68
2024-04-29,All Ages,0.35,0.35
2024-04-30,00 to 11,0.36,0.34
2024-04-30,12 to 15,0.19,0.19
2024-04-30,16 to 17,0.2,0.2
2024-04-30,18 to 24,0.29,0.23
2024-04-30,25 to 39,0.27,0.24
2024-04-30,40 to 49,0.23,0.24
2024-04-30,50 to 64,0.33,0.33
2024-04-30,65 to 74,0.53,0.46
2024-04-30,75+,0.72,0.68
2024-04-30,All Ages,0.37,0.35
2024-05-01,00 to 11,0.36,0.34
2024-05-01,12 to 15,0.16,0.18
2024-05-01,16 to 17,0.21,0.2
2024-05-01,18 to 24,0.22,0.23
2024-05-01,25 to 39,0.23,0.24
2024-05-01,40 to 49,0.26,0.24
2024-05-01,50 to 64,0.31,0.33
2024-05-01,65 to 74,0.5,0.47
2024-05-01,75+,0.7,0.69
2024-05-01,All Ages,0.35,0.35
2024-05-02,00 to 11,0.32,0.34
2024-05-02,12 to 15,0.21,0.18
2024-05-02,16 to 17,0.24,0.2
2024-05-02,18 to 24,0.2,0.23
2024-05-02,25 to 39,0.23,0.24
2024-05-02,40 to 49,0.23,0.24
2024-05-02,50 to 64,0.28,0.32
2024-05-02,65 to 74,0.44,0.47
2024-05-02,75+,0.6,0.68
2024-05-02,All Ages,0.32,0.35
2024-05-03,00 to 11,0.35,0.34
2024-05-03,12 to 15,0.14,0.18
2024-05-03,16 to 17,0.16,0.19
2024-05-03,18 to 24,0.18,0.22
2024-05-03,25 to 39,0.2,0.24
2024-05-03,40 to 49,0.24,0.24
2024-05-03,50 to 64,0.29,0.31
2024-05-03,65 to 74,0.47,0.48
2024-05-03,75+,0.63,0.68
2024-05-03,All Ages,0.32,0.34
2024-05-04,00 to 11,0.28,0.33
2024-05-04,12 to 15,0.16,0.17
2024-05-04,16 to 17,0.11,0.18
2024-05-04,18 to 24,0.2,0.22
2024-05-04,25 to 39,0.23,0.23
2024-05-04,40 to 49,0.21,0.24
2024-05-04,50 to 64,0.3,0.31
2024-05-04,65 to 74,0.43,0.47
2024-05-04,75+,0.68,0.68
2024-05-04,All Ages,0.32,0.34
2024-05-05,00 to 11,0.29,0.32
2024-05-05,12 to 15,0.15,0.17
2024-05-05,16 to 17,0.14,0.18
2024-05-05,18 to 24,0.22,0.22
2024-05-05,25 to 39,0.19,0.23
2024-05-05,40 to 49,0.3,0.24
2024-05-05,50 to 64,0.34,0.31
2024-05-05,65 to 74,0.49,0.48
2024-05-05,75+,0.67,0.67
2024-05-05,All Ages,0.33,0.34
2024-05-06,00 to 11,0.29,0.32
2024-05-06,12 to 15,0.11,0.16
2024-05-06,16 to 17,0.16,0.18
2024-05-06,18 to 24,0.22,0.22
2024-05-06,25 to 39,0.21,0.22
2024-05-06,40 to 49,0.24,0.24
2024-05-06,50 to 64,0.33,0.31
2024-05-06,65 to 74,0.46,0.47
2024-05-06,75+,0.66,0.66
2024-05-06,All Ages,0.33,0.33
2024-05-07,00 to 11,0.32,0.31
2024-05-07,12 to 15,0.19,0.16
2024-05-07,16 to 17,0.22,0.18
2024-05-07,18 to 24,0.25,0.21
2024-05-07,25 to 39,0.24,0.22
2024-05-07,40 to 49,0.21,0.24
2024-05-07,50 to 64,0.3,0.31
2024-05-07,65 to 74,0.47,0.46
2024-05-07,75+,0.69,0.66
2024-05-07,All Ages,0.34,0.33
2024-05-08,00 to 11,0.31,0.31
2024-05-08,12 to 15,0.14,0.16
2024-05-08,16 to 17,0.22,0.18
2024-05-08,18 to 24,0.25,0.22
2024-05-08,25 to 39,0.21,0.22
2024-05-08,40 to 49,0.25,0.24
2024-05-08,50 to 64,0.31,0.31
2024-05-08,65 to 74,0.42,0.45
2024-05-08,75+,0.67,0.66
2024-05-08,All Ages,0.33,0.33
2024-05-09,00 to 11,0.27,0.3
2024-05-09,12 to 15,0.16,0.15
2024-05-09,16 to 17,0.21,0.18
2024-05-09,18 to 24,0.2,0.22
2024-05-09,25 to 39,0.24,0.22
2024-05-09,40 to 49,0.26,0.24
2024-05-09,50 to 64,0.3,0.31
2024-05-09,65 to 74,0.44,0.45
2024-05-09,75+,0.65,0.66
2024-05-09,All Ages,0.32,0.33
2024-05-10,00 to 11,0.25,0.29
2024-05-10,12 to 15,0.14,0.15
2024-05-10,16 to 17,0.23,0.19
2024-05-10,18 to 24,0.23,0.22
2024-05-10,25 to 39,0.21,0.22
2024-05-10,40 to 49,0.24,0.24
2024-05-10,50 to 64,0.3,0.31
2024-05-10,65 to 74,0.49,0.46
2024-05-10,75+,0.66,0.67
2024-05-10,All Ages,0.33,0.33
2024-05-11,00 to 11,0.32,0.29
2024-05-11,12 to 15,0.1,0.14
2024-05-11,16 to 17,0.19,0.2
2024-05-11,18 to 24,0.27,0.23
2024-05-11,25 to 39,0.23,0.22
2024-05-11,40 to 49,0.28,0.25
2024-05-11,50 to 64,0.36,0.32
2024-05-11,65 to 74,0.57,0.48
2024-05-11,75+,0.75,0.68
2024-05-11,All Ages,0.37,0.33
2024-05-12,00 to 11,0.32,0.3
2024-05-12,12 to 15,0.17,0.14
2024-05-12,16 to 17,0.19,0.2
2024-05-12,18 to 24,0.21,0.23
2024-05-12,25 to 39,0.24,0.23
2024-05-12,40 to 49,0.24,0.24
2024-05-12,50 to 64,0.32,0.32
2024-05-12,65 to 74,0.56,0.48
2024-05-12,75+,0.84,0.7
2024-05-12,All Ages,0.37,0.34
2024-05-13,00 to 11,0.3,0.3
2024-05-13,12 to 15,0.15,0.15
2024-05-13,16 to 17,0.19,0.21
2024-05-13,18 to 24,0.26,0.24
2024-05-13,25 to 39,0.25,0.23
2024-05-13,40 to 49,0.25,0.25
2024-05-13,50 to 64,0.35,0.32
2024-05-13,65 to 74,0.47,0.49
2024-05-13,75+,0.66,0.7
2024-05-13,All Ages,0.34,0.34
2024-05-14,00 to 11,0.36,0.31
2024-05-14,12 to 15,0.18,0.15
2024-05-14,16 to 17,0.23,0.21
2024-05-14,18 to 24,0.29,0.25
2024-05-14,25 to 39,0.25,0.23
2024-05-14,40 to 49,0.24,0.25
2024-05-14,50 to 64,0.37,0.33
2024-05-14,65 to 74,0.49,0.49
2024-05-14,75+,0.66,0.7
2024-05-14,All Ages,0.36,0.35
2024-05-15,00 to 11,0.27,0.3
2024-05-15,12 to 15,0.14,0.15
2024-05-15,16 to 17,0.13,0.2
2024-05-15,18 to 24,0.3,0.25
2024-05-15,25 to 39,0.26,0.24
2024-05-15,40 to 49,0.26,0.25
2024-05-15,50 to 64,0.38,0.34
2024-05-15,65 to 74,0.54,0.51
2024-05-15,75+,0.76,0.71
2024-05-15,All Ages,0.38,0.35
2024-05-16,00 to 11,0.37,0.31
2024-05-16,12 to 15,0.09,0.14
2024-05-16,16 to 17,0.19,0.19
2024-05-16,18 to 24,0.24,0.26
2024-05-16,25 to 39,0.28,0.25
2024-05-16,40 to 49,0.29,0.25
2024-05-16,50 to 64,0.38,0.35
